Designator,Mid X,Mid Y,Rotation,Layer
CONN1,214.626054,-99.789052,0.0,top
D1,98.7481,-104.840738,345.5,top
D10,156.965531,-112.858667,338.0,top
D11,163.895753,-95.705766,338.0,top
D12,170.825975,-78.552865,338.0,top
D13,173.369219,-121.643257,338.0,top
D14,180.299441,-104.490356,338.0,top
D15,187.229663,-87.337454,338.0,top
D16,330.504007,-104.840738,14.5,top
D17,325.871977,-86.930007,14.5,top
D18,321.239947,-69.019276,14.5,top
D19,308.804108,-100.11585,19.5,top
D2,103.38013,-86.930007,345.5,top
D20,302.628681,-82.676982,19.5,top
D21,296.453254,-65.238114,19.5,top
D22,289.153856,-103.886774,22.0,top
D23,282.223634,-86.733873,22.0,top
D24,275.293412,-69.580972,22.0,top
D25,272.286576,-112.858667,22.0,top
D26,265.356354,-95.705766,22.0,top
D27,258.426132,-78.552865,22.0,top
D28,255.882888,-121.643257,22.0,top
D29,248.952666,-104.490356,22.0,top
D3,108.01216,-69.019276,345.5,top
D30,242.022444,-87.337454,22.0,top
D31,153.579355,-134.20354,319.5,top
D32,168.869112,-147.780883,323.0,top
D33,181.303976,-162.377239,323.0,top
D34,275.672752,-134.20354,40.5,top
D35,260.382995,-147.780883,37.0,top
D36,247.948131,-162.377239,37.0,top
D4,120.447999,-100.11585,340.5,top
D5,126.623426,-82.676982,340.5,top
D6,132.798853,-65.238114,340.5,top
D7,140.098251,-103.886774,338.0,top
D8,147.028473,-86.733873,338.0,top
D9,153.958695,-69.580972,338.0,top
H1,122.526054,-53.769052,0.0,top
H10,189.626054,-127.175052,0.0,top
H11,239.626054,-127.175052,0.0,top
H12,146.427277,-137.958241,319.5,top
H13,282.82483,-137.958241,319.5,top
H14,195.134368,-149.00861,323.0,top
H15,234.117739,-149.00861,323.0,top
H2,100.876054,-54.769052,0.0,top
H3,328.376054,-54.769052,0.0,top
H4,306.726054,-53.769052,0.0,top
H5,100.876054,-127.175052,0.0,top
H6,328.376054,-127.175052,0.0,top
H7,214.626054,-90.969052,0.0,top
H8,180.626054,-54.769052,0.0,top
H9,248.626054,-54.769052,0.0,top
MCU1,214.626054,-69.871052,270.0,top
PAD1,214.626054,-99.789052,0.0,top
S37,118.876054,-129.205552,180.0,top
SW1,232.626054,-53.494252,90.0,top
